Time series of measured orientation data in quaternions:
Time (s)	hand_l_imu	humerus_r_imu	torso_imu	radius_l_imu	calcn_r_imu	head_imu	femur_l_imu	radius_r_imu	calcn_l_imu	tibia_l_imu	hand_r_imu	humerus_l_imu	femur_r_imu	pelvis_imu	tibia_r_imu
10.678986	~[0.708860,0.165115,-0.681628,-0.075087]	~[-0.157587,-0.682481,0.081282,-0.709069]	~[0.377124,-0.323408,-0.221754,-0.839053]	~[0.634014,-0.061358,-0.720359,-0.274489]	~[0.417009,-0.390347,-0.050087,-0.819282]	~[-0.314142,-0.233286,-0.533127,-0.750112]	~[0.688464,-0.302051,-0.642087,-0.150026]	~[0.021760,-0.644601,0.274609,-0.713166]	~[0.562839,-0.241495,-0.264663,-0.744880]	~[0.626399,-0.233879,-0.736470,-0.102648]	~[-0.404094,-0.514875,0.393150,-0.645790]	~[0.755654,-0.184022,-0.595511,-0.201223]	~[-0.193275,-0.722248,0.020840,-0.663754]	~[0.714531,0.333761,-0.511101,0.341796]	~[-0.198345,-0.685507,0.378227,-0.589648]
10.7082569	~[0.708592,0.164710,-0.682023,-0.074920]	~[-0.157498,-0.682507,0.080959,-0.709101]	~[0.377100,-0.323479,-0.222022,-0.838966]	~[0.633933,-0.061651,-0.720472,-0.274316]	~[0.417035,-0.390336,-0.050068,-0.819276]	~[-0.313956,-0.233130,-0.533423,-0.750027]	~[0.688452,-0.302076,-0.642083,-0.150043]	~[0.021951,-0.644723,0.274254,-0.713187]	~[0.562823,-0.241449,-0.264656,-0.744909]	~[0.626353,-0.233851,-0.736510,-0.102706]	~[-0.403912,-0.514961,0.392904,-0.645985]	~[0.755543,-0.184183,-0.595627,-0.201146]	~[-0.193260,-0.722207,0.020881,-0.663801]	~[0.714499,0.333837,-0.511111,0.341776]	~[-0.198236,-0.685498,0.378247,-0.589682]
10.7289947	~[0.708583,0.164279,-0.682144,-0.074850]	~[-0.157303,-0.682559,0.080667,-0.709127]	~[0.377054,-0.323584,-0.222187,-0.838902]	~[0.633880,-0.061978,-0.720556,-0.274140]	~[0.417081,-0.390307,-0.050054,-0.819267]	~[-0.313613,-0.232978,-0.533785,-0.749961]	~[0.688463,-0.302062,-0.642056,-0.150136]	~[0.022010,-0.644751,0.273973,-0.713268]	~[0.562825,-0.241409,-0.264639,-0.744927]	~[0.626309,-0.233842,-0.736542,-0.102768]	~[-0.404020,-0.514762,0.392540,-0.646297]	~[0.755430,-0.184417,-0.595725,-0.201066]	~[-0.193302,-0.722194,0.020952,-0.663800]	~[0.714475,0.333963,-0.511073,0.341757]	~[-0.198137,-0.685434,0.378291,-0.589761]
10.7582117	~[0.708863,0.164008,-0.681932,-0.074721]	~[-0.157185,-0.682559,0.080437,-0.709180]	~[0.377078,-0.323682,-0.222273,-0.838830]	~[0.633894,-0.062222,-0.720559,-0.274045]	~[0.417110,-0.390268,-0.050027,-0.819272]	~[-0.313254,-0.232847,-0.534098,-0.749929]	~[0.688418,-0.302060,-0.642077,-0.150260]	~[0.021905,-0.644739,0.273742,-0.713370]	~[0.562798,-0.241370,-0.264632,-0.744962]	~[0.626270,-0.233883,-0.736553,-0.102832]	~[-0.404196,-0.514352,0.392171,-0.646738]	~[0.755319,-0.184609,-0.595842,-0.200961]	~[-0.193324,-0.722199,0.020988,-0.663787]	~[0.714486,0.334078,-0.510988,0.341749]	~[-0.197989,-0.685423,0.378318,-0.589806]
10.7792354	~[0.709006,0.163896,-0.681854,-0.074325]	~[-0.157174,-0.682447,0.080294,-0.709307]	~[0.377094,-0.323789,-0.222296,-0.838776]	~[0.633960,-0.062271,-0.720659,-0.273619]	~[0.417212,-0.390251,-0.049929,-0.819235]	~[-0.312965,-0.232736,-0.534381,-0.749882]	~[0.688408,-0.302009,-0.642098,-0.150314]	~[0.021690,-0.644755,0.273507,-0.713452]	~[0.562776,-0.241369,-0.264613,-0.744986]	~[0.626193,-0.233944,-0.736591,-0.102891]	~[-0.404420,-0.514279,0.391905,-0.646817]	~[0.755253,-0.184577,-0.595983,-0.200820]	~[-0.193326,-0.722170,0.021165,-0.663812]	~[0.714544,0.334095,-0.510931,0.341696]	~[-0.197823,-0.685371,0.378375,-0.589886]
10.8082309	~[0.709026,0.163863,-0.681866,-0.074097]	~[-0.157211,-0.682372,0.080212,-0.709379]	~[0.377087,-0.323876,-0.222352,-0.838731]	~[0.633991,-0.062254,-0.720773,-0.273251]	~[0.417296,-0.390224,-0.049864,-0.819208]	~[-0.312670,-0.232693,-0.534655,-0.749823]	~[0.688464,-0.301890,-0.642118,-0.150214]	~[0.021150,-0.644843,0.273493,-0.713395]	~[0.562798,-0.241254,-0.264599,-0.745011]	~[0.626133,-0.233928,-0.736636,-0.102968]	~[-0.404809,-0.514470,0.391733,-0.646526]	~[0.755255,-0.184424,-0.596135,-0.200501]	~[-0.193318,-0.722122,0.021288,-0.663863]	~[0.714567,0.334215,-0.510862,0.341636]	~[-0.197622,-0.685387,0.378401,-0.589918]
10.8290536	~[0.709159,0.163736,-0.681766,-0.074022]	~[-0.157151,-0.682460,0.079962,-0.709337]	~[0.377052,-0.323926,-0.222408,-0.838712]	~[0.633975,-0.062384,-0.720851,-0.273053]	~[0.417331,-0.390198,-0.049833,-0.819205]	~[-0.312479,-0.232666,-0.534831,-0.749786]	~[0.688556,-0.301709,-0.642132,-0.150093]	~[0.020882,-0.644955,0.273229,-0.713402]	~[0.562774,-0.241256,-0.264596,-0.745030]	~[0.626002,-0.233911,-0.736739,-0.103068]	~[-0.404960,-0.514705,0.391379,-0.646459]	~[0.755166,-0.184461,-0.596326,-0.200233]	~[-0.193194,-0.722132,0.021306,-0.663888]	~[0.714582,0.334285,-0.510792,0.341639]	~[-0.197458,-0.685370,0.378439,-0.589968]
10.8581937	~[0.709483,0.163455,-0.681498,-0.074006]	~[-0.157217,-0.682530,0.079704,-0.709283]	~[0.377000,-0.324046,-0.222498,-0.838666]	~[0.634035,-0.062792,-0.720741,-0.273110]	~[0.417327,-0.390171,-0.049834,-0.819220]	~[-0.312265,-0.232702,-0.534970,-0.749765]	~[0.688617,-0.301629,-0.642134,-0.149966]	~[0.020868,-0.645106,0.272735,-0.713455]	~[0.562676,-0.241284,-0.264661,-0.745073]	~[0.625885,-0.233818,-0.736855,-0.103158]	~[-0.404834,-0.514917,0.390935,-0.646637]	~[0.755133,-0.184698,-0.596302,-0.200211]	~[-0.193013,-0.722213,0.021145,-0.663858]	~[0.714577,0.334402,-0.510770,0.341570]	~[-0.197310,-0.685363,0.378470,-0.590005]
10.8790075	~[0.709665,0.163096,-0.681403,-0.073927]	~[-0.157321,-0.682529,0.079595,-0.709273]	~[0.376976,-0.324189,-0.222577,-0.838600]	~[0.634176,-0.063124,-0.720599,-0.273080]	~[0.417313,-0.390134,-0.049849,-0.819244]	~[-0.312148,-0.232651,-0.535211,-0.749658]	~[0.688631,-0.301568,-0.642170,-0.149873]	~[0.020935,-0.645228,0.272304,-0.713507]	~[0.562632,-0.241249,-0.264666,-0.745115]	~[0.625826,-0.233756,-0.736914,-0.103230]	~[-0.404840,-0.515109,0.390454,-0.646771]	~[0.755104,-0.184955,-0.596242,-0.200262]	~[-0.193048,-0.722216,0.021217,-0.663843]	~[0.714565,0.334477,-0.510726,0.341587]	~[-0.197162,-0.685358,0.378494,-0.590046]
10.9081801	~[0.709784,0.163209,-0.681286,-0.073612]	~[-0.157225,-0.682497,0.079473,-0.709340]	~[0.376928,-0.324266,-0.222567,-0.838594]	~[0.634327,-0.063037,-0.720573,-0.272819]	~[0.417364,-0.390051,-0.049805,-0.819260]	~[-0.311985,-0.232564,-0.535372,-0.749637]	~[0.688659,-0.301457,-0.642204,-0.149825]	~[0.020689,-0.645350,0.272194,-0.713447]	~[0.562560,-0.241226,-0.264694,-0.745167]	~[0.625766,-0.233763,-0.736956,-0.103284]	~[-0.404994,-0.515022,0.390323,-0.646823]	~[0.755081,-0.185080,-0.596208,-0.200336]	~[-0.192954,-0.722215,0.021131,-0.663874]	~[0.714525,0.334574,-0.510694,0.341622]	~[-0.196961,-0.685306,0.378588,-0.590113]
10.9289869	~[0.709827,0.163404,-0.681201,-0.073555]	~[-0.157160,-0.682415,0.079341,-0.709448]	~[0.376874,-0.324396,-0.222532,-0.838578]	~[0.634324,-0.062906,-0.720638,-0.272685]	~[0.417397,-0.390024,-0.049776,-0.819258]	~[-0.311752,-0.232464,-0.535561,-0.749631]	~[0.688697,-0.301332,-0.642226,-0.149807]	~[0.020756,-0.645388,0.271974,-0.713494]	~[0.562573,-0.241108,-0.264664,-0.745206]	~[0.625706,-0.233796,-0.736988,-0.103348]	~[-0.404748,-0.515063,0.390320,-0.646946]	~[0.755082,-0.185197,-0.596183,-0.200298]	~[-0.192968,-0.722180,0.021133,-0.663907]	~[0.714556,0.334667,-0.510575,0.341645]	~[-0.196780,-0.685347,0.378582,-0.590129]
10.958172	~[0.709862,0.163615,-0.681111,-0.073583]	~[-0.157111,-0.682442,0.079231,-0.709445]	~[0.376849,-0.324564,-0.222476,-0.838539]	~[0.634325,-0.062781,-0.720655,-0.272666]	~[0.417409,-0.389974,-0.049766,-0.819276]	~[-0.311400,-0.232433,-0.535811,-0.749608]	~[0.688701,-0.301263,-0.642249,-0.149825]	~[0.020771,-0.645313,0.272019,-0.713544]	~[0.562543,-0.241102,-0.264621,-0.745246]	~[0.625681,-0.233740,-0.737014,-0.103439]	~[-0.404429,-0.515318,0.390466,-0.646854]	~[0.755074,-0.185122,-0.596238,-0.200234]	~[-0.192835,-0.722190,0.021102,-0.663936]	~[0.714564,0.334655,-0.510576,0.341638]	~[-0.196667,-0.685318,0.378576,-0.590205]
10.9789325	~[0.709990,0.163864,-0.680918,-0.073578]	~[-0.156929,-0.682404,0.079193,-0.709525]	~[0.376841,-0.324764,-0.222442,-0.838474]	~[0.634368,-0.062599,-0.720620,-0.272700]	~[0.417397,-0.389962,-0.049801,-0.819286]	~[-0.311189,-0.232289,-0.536160,-0.749491]	~[0.688714,-0.301228,-0.642257,-0.149799]	~[0.020803,-0.645358,0.272144,-0.713455]	~[0.562529,-0.241022,-0.264607,-0.745287]	~[0.625650,-0.233662,-0.737055,-0.103512]	~[-0.404272,-0.515466,0.390651,-0.646723]	~[0.755109,-0.185048,-0.596202,-0.200277]	~[-0.192837,-0.722221,0.021161,-0.663900]	~[0.714558,0.334705,-0.510561,0.341624]	~[-0.196566,-0.685331,0.378563,-0.590231]
11.008238	~[0.709994,0.163923,-0.680899,-0.073579]	~[-0.156660,-0.682456,0.079110,-0.709544]	~[0.376804,-0.324861,-0.222384,-0.838469]	~[0.634484,-0.062617,-0.720531,-0.272661]	~[0.417437,-0.389919,-0.049794,-0.819286]	~[-0.311005,-0.232291,-0.536393,-0.749400]	~[0.688706,-0.301208,-0.642276,-0.149797]	~[0.021063,-0.645516,0.272116,-0.713315]	~[0.562509,-0.241068,-0.264573,-0.745300]	~[0.625572,-0.233618,-0.737126,-0.103575]	~[-0.404214,-0.515595,0.390499,-0.646748]	~[0.755113,-0.185016,-0.596210,-0.200265]	~[-0.192764,-0.722247,0.021164,-0.663893]	~[0.714606,0.334690,-0.510496,0.341635]	~[-0.196566,-0.685326,0.378612,-0.590205]
