Time series of measured orientation data in quaternions:
Time (s)	hand_l_imu	humerus_r_imu	torso_imu	radius_l_imu	calcn_r_imu	head_imu	femur_l_imu	radius_r_imu	calcn_l_imu	tibia_l_imu	hand_r_imu	humerus_l_imu	femur_r_imu	pelvis_imu	tibia_r_imu
51.1733932	~[-0.014807,0.107341,-0.476446,-0.872501]	~[-0.020035,-0.562259,0.274486,-0.779821]	~[0.160145,-0.390134,-0.121286,-0.898576]	~[-0.249559,-0.153094,-0.462155,-0.837075]	~[0.037852,-0.400286,0.123687,-0.907215]	~[-0.448137,-0.356133,-0.597489,-0.561560]	~[0.357309,-0.126642,-0.683822,-0.623442]	~[0.668280,-0.214239,0.343916,-0.623879]	~[0.406403,-0.310703,-0.219871,-0.830636]	~[0.621558,-0.325894,-0.682545,-0.203936]	~[0.319986,-0.040723,0.488711,-0.810625]	~[0.561943,-0.328676,-0.427674,-0.627126]	~[-0.004063,-0.452206,0.450559,-0.769734]	~[0.776528,0.184858,-0.574714,0.180376]	~[-0.353401,-0.485977,0.584747,-0.544982]
51.1933605	~[-0.014962,0.107262,-0.476112,-0.872690]	~[-0.020080,-0.561605,0.274566,-0.780263]	~[0.159887,-0.390096,-0.121001,-0.898677]	~[-0.249579,-0.153179,-0.461878,-0.837207]	~[0.037907,-0.400289,0.123612,-0.907222]	~[-0.448175,-0.355903,-0.597469,-0.561696]	~[0.357163,-0.126645,-0.683881,-0.623460]	~[0.668364,-0.211248,0.342196,-0.625752]	~[0.406160,-0.310742,-0.219794,-0.830761]	~[0.621584,-0.325810,-0.682569,-0.203914]	~[0.318543,-0.038980,0.489541,-0.810778]	~[0.562087,-0.328679,-0.427572,-0.627065]	~[-0.004210,-0.452096,0.450849,-0.769627]	~[0.776712,0.184811,-0.574462,0.180436]	~[-0.353435,-0.485992,0.584730,-0.544964]
51.2233981	~[-0.014822,0.107110,-0.476308,-0.872605]	~[-0.019890,-0.561035,0.274295,-0.780773]	~[0.159965,-0.389972,-0.120659,-0.898763]	~[-0.249394,-0.153203,-0.462261,-0.837046]	~[0.037893,-0.400303,0.123599,-0.907218]	~[-0.448058,-0.355542,-0.597377,-0.562117]	~[0.357169,-0.126507,-0.683968,-0.623390]	~[0.669515,-0.206446,0.337452,-0.628694]	~[0.405822,-0.310811,-0.219714,-0.830922]	~[0.621618,-0.325651,-0.682628,-0.203867]	~[0.318718,-0.036029,0.487477,-0.812088]	~[0.562227,-0.328627,-0.427526,-0.626998]	~[-0.004291,-0.452082,0.450960,-0.769571]	~[0.776833,0.184777,-0.574301,0.180463]	~[-0.353519,-0.485983,0.584756,-0.544891]
51.2434163	~[-0.015300,0.106704,-0.476573,-0.872501]	~[-0.019907,-0.560193,0.274253,-0.781391]	~[0.160035,-0.390499,-0.120601,-0.898529]	~[-0.249297,-0.153071,-0.462476,-0.836980]	~[0.038170,-0.400368,0.123464,-0.907196]	~[-0.447956,-0.355436,-0.597250,-0.562399]	~[0.357161,-0.126436,-0.684021,-0.623350]	~[0.671188,-0.201490,0.331477,-0.631689]	~[0.405888,-0.310815,-0.219769,-0.830873]	~[0.621548,-0.325755,-0.682598,-0.204016]	~[0.321491,-0.030947,0.482514,-0.814166]	~[0.562319,-0.328504,-0.427755,-0.626823]	~[-0.004548,-0.451889,0.451068,-0.769619]	~[0.776979,0.184786,-0.574082,0.180523]	~[-0.353559,-0.485980,0.584843,-0.544773]
51.2734564	~[-0.015207,0.106857,-0.476792,-0.872365]	~[-0.019220,-0.559790,0.274048,-0.781769]	~[0.159963,-0.391036,-0.120836,-0.898277]	~[-0.249337,-0.152772,-0.462284,-0.837130]	~[0.037999,-0.400337,0.123579,-0.907201]	~[-0.447754,-0.355472,-0.597406,-0.562371]	~[0.357196,-0.126397,-0.684033,-0.623324]	~[0.673029,-0.196899,0.325865,-0.634093]	~[0.405950,-0.310810,-0.219818,-0.830832]	~[0.621549,-0.325617,-0.682702,-0.203885]	~[0.325153,-0.024643,0.477118,-0.816105]	~[0.562334,-0.328264,-0.428199,-0.626633]	~[-0.004616,-0.451780,0.451018,-0.769712]	~[0.777163,0.184811,-0.573790,0.180633]	~[-0.353561,-0.486047,0.584867,-0.544687]
51.2934215	~[-0.014712,0.107221,-0.476726,-0.872365]	~[-0.018786,-0.559359,0.274202,-0.782035]	~[0.159937,-0.390981,-0.121202,-0.898256]	~[-0.249455,-0.152475,-0.462393,-0.837088]	~[0.038116,-0.400386,0.123552,-0.907179]	~[-0.447663,-0.355740,-0.597591,-0.562078]	~[0.357226,-0.126381,-0.684003,-0.623344]	~[0.675292,-0.191225,0.318927,-0.636945]	~[0.405886,-0.310819,-0.219843,-0.830853]	~[0.621519,-0.325640,-0.682713,-0.203901]	~[0.328853,-0.018256,0.470507,-0.818624]	~[0.562571,-0.327971,-0.428784,-0.626173]	~[-0.004582,-0.451752,0.450911,-0.769791]	~[0.777387,0.184793,-0.573490,0.180636]	~[-0.353569,-0.486090,0.584903,-0.544604]
51.3234381	~[-0.014746,0.107366,-0.476752,-0.872332]	~[-0.018146,-0.559020,0.274555,-0.782168]	~[0.159834,-0.390603,-0.121453,-0.898405]	~[-0.249330,-0.152170,-0.462578,-0.837079]	~[0.038384,-0.400445,0.123452,-0.907155]	~[-0.447498,-0.355977,-0.597829,-0.561807]	~[0.357104,-0.126501,-0.683837,-0.623571]	~[0.676685,-0.187192,0.314257,-0.638983]	~[0.405818,-0.310818,-0.219838,-0.830889]	~[0.621414,-0.325880,-0.682620,-0.204150]	~[0.333053,-0.012490,0.462027,-0.821858]	~[0.562676,-0.327909,-0.429013,-0.625955]	~[-0.004439,-0.451779,0.450854,-0.769810]	~[0.777629,0.184705,-0.573226,0.180524]	~[-0.353658,-0.485979,0.585095,-0.544440]
51.3434397	~[-0.015070,0.107296,-0.476725,-0.872350]	~[-0.017721,-0.558375,0.274993,-0.782485]	~[0.159772,-0.390072,-0.121718,-0.898611]	~[-0.249218,-0.152058,-0.462852,-0.836980]	~[0.037979,-0.400361,0.123689,-0.907177]	~[-0.447229,-0.356162,-0.598121,-0.561593]	~[0.356996,-0.126608,-0.683769,-0.623686]	~[0.676678,-0.186589,0.314047,-0.639270]	~[0.405899,-0.310787,-0.219861,-0.830854]	~[0.621453,-0.325666,-0.682749,-0.203941]	~[0.335903,-0.009291,0.456761,-0.823682]	~[0.562635,-0.328110,-0.428577,-0.626185]	~[-0.004432,-0.451722,0.450972,-0.769774]	~[0.777767,0.184649,-0.573120,0.180324]	~[-0.353755,-0.485847,0.585258,-0.544319]
51.3734233	~[-0.015046,0.107399,-0.476868,-0.872259]	~[-0.017290,-0.558050,0.274671,-0.782839]	~[0.159807,-0.389659,-0.121843,-0.898767]	~[-0.249501,-0.152179,-0.462744,-0.836934]	~[0.038053,-0.400368,0.123674,-0.907172]	~[-0.446667,-0.356217,-0.598572,-0.561525]	~[0.356804,-0.126855,-0.683680,-0.623843]	~[0.676495,-0.186484,0.314524,-0.639260]	~[0.405747,-0.310834,-0.219802,-0.830926]	~[0.621464,-0.325607,-0.682803,-0.203818]	~[0.336243,-0.009110,0.454913,-0.824567]	~[0.562784,-0.328125,-0.428426,-0.626146]	~[-0.004439,-0.451712,0.451085,-0.769714]	~[0.777702,0.184716,-0.573253,0.180114]	~[-0.353759,-0.485831,0.585291,-0.544295]
51.3934034	~[-0.015241,0.107480,-0.476875,-0.872242]	~[-0.016929,-0.557888,0.274142,-0.783148]	~[0.159827,-0.389599,-0.121584,-0.898825]	~[-0.249472,-0.151971,-0.462691,-0.837010]	~[0.038065,-0.400361,0.123702,-0.907171]	~[-0.446155,-0.356279,-0.599034,-0.561399]	~[0.356611,-0.127106,-0.683647,-0.623939]	~[0.676589,-0.186321,0.314824,-0.639060]	~[0.405578,-0.310866,-0.219743,-0.831013]	~[0.621451,-0.325553,-0.682867,-0.203731]	~[0.336309,-0.009500,0.453442,-0.825346]	~[0.562778,-0.328102,-0.428610,-0.626038]	~[-0.004356,-0.451754,0.451066,-0.769701]	~[0.777532,0.184832,-0.573472,0.180031]	~[-0.353801,-0.485789,0.585335,-0.544259]
51.4234081	~[-0.015121,0.107638,-0.476963,-0.872176]	~[-0.016877,-0.557632,0.273839,-0.783437]	~[0.159748,-0.389783,-0.121358,-0.898789]	~[-0.249401,-0.151610,-0.462338,-0.837291]	~[0.038286,-0.400401,0.123636,-0.907153]	~[-0.446045,-0.356367,-0.599264,-0.561185]	~[0.356497,-0.127253,-0.683599,-0.624026]	~[0.676643,-0.186572,0.315497,-0.638597]	~[0.405509,-0.310872,-0.219720,-0.831050]	~[0.621327,-0.325933,-0.682686,-0.204109]	~[0.336023,-0.011054,0.452246,-0.826099]	~[0.562705,-0.328051,-0.428823,-0.625984]	~[-0.004437,-0.451735,0.451157,-0.769658]	~[0.777303,0.184883,-0.573798,0.179926]	~[-0.353805,-0.485841,0.585284,-0.544264]
51.4433967	~[-0.014886,0.107801,-0.476772,-0.872265]	~[-0.016338,-0.557647,0.273456,-0.783572]	~[0.159881,-0.389834,-0.121622,-0.898708]	~[-0.249286,-0.151291,-0.462186,-0.837467]	~[0.038562,-0.400474,0.123516,-0.907126]	~[-0.445953,-0.356285,-0.599427,-0.561137]	~[0.356474,-0.127281,-0.683572,-0.624064]	~[0.676594,-0.186696,0.315600,-0.638562]	~[0.405747,-0.310842,-0.219800,-0.830924]	~[0.621205,-0.326207,-0.682584,-0.204383]	~[0.335268,-0.012304,0.451379,-0.826862]	~[0.562702,-0.327970,-0.429208,-0.625766]	~[-0.004746,-0.451519,0.451391,-0.769645]	~[0.777106,0.184859,-0.574092,0.179867]	~[-0.353850,-0.485802,0.585341,-0.544208]
51.4734334	~[-0.014588,0.107984,-0.476705,-0.872284]	~[-0.015714,-0.557780,0.273019,-0.783642]	~[0.159953,-0.389633,-0.122078,-0.898720]	~[-0.249432,-0.151281,-0.462417,-0.837299]	~[0.038757,-0.400517,0.123411,-0.907113]	~[-0.446019,-0.356464,-0.599400,-0.560999]	~[0.356465,-0.127264,-0.683577,-0.624066]	~[0.676660,-0.187025,0.315695,-0.638349]	~[0.405843,-0.310844,-0.219813,-0.830873]	~[0.621177,-0.326240,-0.682589,-0.204397]	~[0.334995,-0.012727,0.450574,-0.827405]	~[0.562761,-0.327874,-0.429452,-0.625596]	~[-0.004871,-0.451362,0.451517,-0.769663]	~[0.777013,0.184790,-0.574243,0.179855]	~[-0.353867,-0.485854,0.585301,-0.544194]
51.5034356	~[-0.014427,0.107981,-0.476824,-0.872222]	~[-0.015436,-0.557935,0.272886,-0.783584]	~[0.160006,-0.389440,-0.122679,-0.898713]	~[-0.249452,-0.151219,-0.462511,-0.837252]	~[0.038994,-0.400568,0.123326,-0.907092]	~[-0.446036,-0.356693,-0.599441,-0.560796]	~[0.356503,-0.127183,-0.683597,-0.624039]	~[0.676862,-0.187647,0.315853,-0.637874]	~[0.405682,-0.310898,-0.219710,-0.830959]	~[0.621201,-0.326121,-0.682665,-0.204262]	~[0.335099,-0.012884,0.450294,-0.827513]	~[0.562821,-0.327832,-0.429376,-0.625615]	~[-0.005131,-0.451223,0.451784,-0.769585]	~[0.776830,0.184776,-0.574524,0.179764]	~[-0.353968,-0.485755,0.585407,-0.544102]
51.5234492	~[-0.014874,0.107713,-0.476926,-0.872192]	~[-0.015004,-0.558512,0.272554,-0.783296]	~[0.160214,-0.389104,-0.123320,-0.898733]	~[-0.249637,-0.151138,-0.462263,-0.837348]	~[0.038788,-0.400517,0.123434,-0.907109]	~[-0.446038,-0.356806,-0.599510,-0.560649]	~[0.356444,-0.127198,-0.683645,-0.624017]	~[0.677059,-0.188002,0.315962,-0.637506]	~[0.405801,-0.310891,-0.219680,-0.830911]	~[0.621174,-0.326244,-0.682593,-0.204389]	~[0.334625,-0.013065,0.450213,-0.827746]	~[0.562697,-0.327778,-0.429170,-0.625897]	~[-0.005493,-0.451102,0.452158,-0.769435]	~[0.776642,0.184943,-0.574748,0.179688]	~[-0.354100,-0.485623,0.585518,-0.544015]
51.5534399	~[-0.014520,0.108050,-0.476860,-0.872192]	~[-0.014298,-0.559239,0.272036,-0.782971]	~[0.160293,-0.388676,-0.123673,-0.898856]	~[-0.249497,-0.150919,-0.462330,-0.837392]	~[0.038527,-0.400468,0.123564,-0.907123]	~[-0.446028,-0.356743,-0.599520,-0.560686]	~[0.356500,-0.127075,-0.683645,-0.624010]	~[0.677025,-0.188089,0.316093,-0.637452]	~[0.405925,-0.310907,-0.219675,-0.830846]	~[0.621098,-0.326649,-0.682349,-0.204786]	~[0.334210,-0.013206,0.449817,-0.828127]	~[0.562324,-0.327737,-0.428849,-0.626473]	~[-0.005451,-0.451219,0.452205,-0.769339]	~[0.776438,0.185240,-0.574921,0.179713]	~[-0.354240,-0.485630,0.585496,-0.543942]
51.5734257	~[-0.014617,0.108091,-0.476803,-0.872216]	~[-0.013365,-0.559877,0.271519,-0.782711]	~[0.160333,-0.388085,-0.123795,-0.899087]	~[-0.249532,-0.150884,-0.462432,-0.837332]	~[0.038629,-0.400480,0.123525,-0.907119]	~[-0.446079,-0.356745,-0.599453,-0.560716]	~[0.356333,-0.127233,-0.683566,-0.624161]	~[0.677366,-0.188358,0.315716,-0.637197]	~[0.405617,-0.310993,-0.219512,-0.831007]	~[0.621121,-0.326772,-0.682238,-0.204892]	~[0.334497,-0.012935,0.449295,-0.828299]	~[0.561833,-0.327668,-0.428561,-0.627146]	~[-0.005431,-0.451274,0.452234,-0.769289]	~[0.776218,0.185443,-0.575176,0.179636]	~[-0.354434,-0.485557,0.585572,-0.543799]
51.6033817	~[-0.014567,0.108128,-0.476827,-0.872200]	~[-0.012351,-0.560375,0.270894,-0.782588]	~[0.160547,-0.387856,-0.124379,-0.899068]	~[-0.249744,-0.150992,-0.462484,-0.837221]	~[0.038326,-0.400433,0.123674,-0.907133]	~[-0.446212,-0.356958,-0.599278,-0.560662]	~[0.356229,-0.127298,-0.683520,-0.624257]	~[0.677420,-0.188749,0.315767,-0.636999]	~[0.405885,-0.310960,-0.219551,-0.830878]	~[0.621147,-0.326918,-0.682083,-0.205094]	~[0.334073,-0.012246,0.449320,-0.828467]	~[0.561612,-0.327494,-0.428456,-0.627507]	~[-0.005337,-0.451261,0.452110,-0.769371]	~[0.775946,0.185536,-0.575562,0.179477]	~[-0.354571,-0.485541,0.585598,-0.543695]
51.623415	~[-0.014908,0.107932,-0.476897,-0.872180]	~[-0.012310,-0.560479,0.270642,-0.782601]	~[0.160564,-0.387619,-0.125091,-0.899068]	~[-0.249784,-0.151014,-0.462375,-0.837265]	~[0.038444,-0.400464,0.123603,-0.907124]	~[-0.446199,-0.357119,-0.599212,-0.560641]	~[0.356131,-0.127424,-0.683425,-0.624391]	~[0.677341,-0.188970,0.316098,-0.636853]	~[0.405830,-0.310983,-0.219496,-0.830911]	~[0.621208,-0.326872,-0.682050,-0.205093]	~[0.333552,-0.011168,0.449554,-0.828565]	~[0.561653,-0.327162,-0.428621,-0.627531]	~[-0.005216,-0.451265,0.451935,-0.769472]	~[0.775696,0.185608,-0.575903,0.179392]	~[-0.354695,-0.485527,0.585590,-0.543635]
51.64339	~[-0.014889,0.108031,-0.476764,-0.872241]	~[-0.012542,-0.559955,0.270680,-0.782959]	~[0.160647,-0.387225,-0.125616,-0.899150]	~[-0.250260,-0.151315,-0.461910,-0.837325]	~[0.038033,-0.400421,0.123760,-0.907138]	~[-0.446003,-0.357081,-0.599258,-0.560771]	~[0.356303,-0.127347,-0.683348,-0.624392]	~[0.677365,-0.189449,0.317241,-0.636116]	~[0.405765,-0.311011,-0.219461,-0.830942]	~[0.621289,-0.326707,-0.682075,-0.205026]	~[0.334209,-0.011293,0.449788,-0.828171]	~[0.561689,-0.326809,-0.428856,-0.627522]	~[-0.005194,-0.451313,0.451820,-0.769512]	~[0.775378,0.185758,-0.576296,0.179352]	~[-0.354665,-0.485638,0.585495,-0.543657]
51.673411	~[-0.014457,0.108311,-0.476563,-0.872323]	~[-0.012231,-0.559389,0.270574,-0.783406]	~[0.160915,-0.387117,-0.125766,-0.899127]	~[-0.250542,-0.151654,-0.461467,-0.837424]	~[0.037898,-0.400414,0.123815,-0.907140]	~[-0.445911,-0.357095,-0.599215,-0.560882]	~[0.356374,-0.127478,-0.683140,-0.624553]	~[0.676892,-0.191023,0.320167,-0.634681]	~[0.405685,-0.311011,-0.219419,-0.830992]	~[0.621354,-0.326475,-0.682173,-0.204873]	~[0.336492,-0.012894,0.450010,-0.827102]	~[0.561461,-0.326705,-0.428867,-0.627772]	~[-0.005539,-0.451196,0.451998,-0.769473]	~[0.775196,0.185930,-0.576506,0.179285]	~[-0.354602,-0.485648,0.585550,-0.543631]
51.6933754	~[-0.013968,0.108498,-0.476423,-0.872384]	~[-0.012640,-0.559049,0.270046,-0.783824]	~[0.160944,-0.387535,-0.125309,-0.899006]	~[-0.250484,-0.152053,-0.461450,-0.837378]	~[0.038073,-0.400435,0.123768,-0.907130]	~[-0.445949,-0.357183,-0.599091,-0.560928]	~[0.356466,-0.127609,-0.682935,-0.624698]	~[0.675746,-0.193907,0.325101,-0.632517]	~[0.405443,-0.311032,-0.219349,-0.831120]	~[0.621389,-0.326277,-0.682289,-0.204696]	~[0.338760,-0.017491,0.451399,-0.825333]	~[0.561305,-0.326536,-0.428910,-0.627971]	~[-0.005540,-0.451203,0.451913,-0.769519]	~[0.775134,0.186038,-0.576562,0.179257]	~[-0.354458,-0.485672,0.585628,-0.543620]
51.7234031	~[-0.013286,0.108719,-0.476518,-0.872316]	~[-0.012837,-0.558828,0.268793,-0.784408]	~[0.160938,-0.388440,-0.124637,-0.898710]	~[-0.250544,-0.152642,-0.461552,-0.837196]	~[0.038281,-0.400472,0.123727,-0.907110]	~[-0.445876,-0.357235,-0.599090,-0.560953]	~[0.356778,-0.127426,-0.682889,-0.624607]	~[0.673917,-0.197658,0.331583,-0.629936]	~[0.405514,-0.311003,-0.219400,-0.831083]	~[0.621346,-0.326371,-0.682265,-0.204757]	~[0.340116,-0.025563,0.454174,-0.823040]	~[0.561084,-0.326525,-0.428711,-0.628310]	~[-0.005504,-0.451202,0.451869,-0.769546]	~[0.775040,0.186071,-0.576687,0.179231]	~[-0.354388,-0.485621,0.585810,-0.543514]
51.7433767	~[-0.013234,0.108643,-0.476526,-0.872321]	~[-0.013213,-0.559220,0.268144,-0.784345]	~[0.160980,-0.389613,-0.124015,-0.898280]	~[-0.251033,-0.153159,-0.461393,-0.837043]	~[0.038439,-0.400510,0.123716,-0.907088]	~[-0.445773,-0.357249,-0.599224,-0.560883]	~[0.356772,-0.127579,-0.682766,-0.624714]	~[0.671561,-0.202890,0.339749,-0.626428]	~[0.405442,-0.311010,-0.219444,-0.831104]	~[0.621342,-0.326295,-0.682348,-0.204614]	~[0.341281,-0.036366,0.457637,-0.820228]	~[0.560813,-0.326640,-0.428390,-0.628710]	~[-0.005683,-0.451030,0.452023,-0.769555]	~[0.775026,0.186062,-0.576709,0.179228]	~[-0.354302,-0.485552,0.585969,-0.543461]
51.7734144	~[-0.013824,0.108309,-0.476383,-0.872432]	~[-0.014064,-0.560205,0.268001,-0.783676]	~[0.161272,-0.390747,-0.123565,-0.897797]	~[-0.250969,-0.153101,-0.461201,-0.837179]	~[0.038637,-0.400561,0.123656,-0.907065]	~[-0.445683,-0.356989,-0.599454,-0.560874]	~[0.356810,-0.127595,-0.682670,-0.624794]	~[0.667680,-0.212344,0.351491,-0.620940]	~[0.405353,-0.311020,-0.219438,-0.831145]	~[0.621308,-0.326335,-0.682375,-0.204565]	~[0.338598,-0.051431,0.466613,-0.815462]	~[0.560512,-0.326709,-0.428098,-0.629142]	~[-0.005568,-0.451024,0.451925,-0.769617]	~[0.775068,0.186101,-0.576616,0.179303]	~[-0.354181,-0.485604,0.585953,-0.543510]
51.7933849	~[-0.014083,0.107986,-0.476315,-0.872505]	~[-0.014968,-0.561185,0.268229,-0.782880]	~[0.161569,-0.391589,-0.123249,-0.897420]	~[-0.250997,-0.152871,-0.461189,-0.837219]	~[0.038653,-0.400568,0.123660,-0.907061]	~[-0.445578,-0.356694,-0.599709,-0.560873]	~[0.356755,-0.127648,-0.682624,-0.624865]	~[0.666544,-0.215047,0.353071,-0.620335]	~[0.405288,-0.311039,-0.219447,-0.831167]	~[0.621300,-0.326306,-0.682444,-0.204403]	~[0.333763,-0.063569,0.475546,-0.811429]	~[0.560309,-0.326741,-0.427704,-0.629574]	~[-0.005274,-0.451175,0.451746,-0.769636]	~[0.775053,0.186257,-0.576522,0.179509]	~[-0.354184,-0.485587,0.585920,-0.543559]
51.8234101	~[-0.013932,0.107823,-0.476501,-0.872426]	~[-0.015414,-0.561413,0.269488,-0.782275]	~[0.161635,-0.392251,-0.123012,-0.897152]	~[-0.250800,-0.152635,-0.461713,-0.837032]	~[0.038707,-0.400593,0.123587,-0.907057]	~[-0.445593,-0.356635,-0.599928,-0.560665]	~[0.356634,-0.127660,-0.682695,-0.624854]	~[0.665980,-0.216122,0.353096,-0.620553]	~[0.405231,-0.311061,-0.219437,-0.831190]	~[0.621240,-0.326562,-0.682345,-0.204507]	~[0.328358,-0.065424,0.482966,-0.809101]	~[0.560157,-0.326932,-0.427124,-0.630004]	~[-0.005191,-0.451252,0.451843,-0.769534]	~[0.775039,0.186376,-0.576465,0.179629]	~[-0.354194,-0.485633,0.585749,-0.543695]
51.8433553	~[-0.013893,0.107388,-0.477695,-0.871827]	~[-0.015338,-0.561059,0.270310,-0.782247]	~[0.161453,-0.392649,-0.122764,-0.897044]	~[-0.250987,-0.152957,-0.464167,-0.835559]	~[0.038778,-0.400625,0.123476,-0.907055]	~[-0.445497,-0.356559,-0.600245,-0.560450]	~[0.356585,-0.127454,-0.682925,-0.624672]	~[0.666138,-0.215455,0.351272,-0.621649]	~[0.405458,-0.311010,-0.219530,-0.831074]	~[0.621185,-0.326801,-0.682232,-0.204670]	~[0.323261,-0.062059,0.488232,-0.808258]	~[0.560271,-0.327102,-0.426519,-0.630224]	~[-0.005386,-0.451239,0.452166,-0.769351]	~[0.775078,0.186445,-0.576356,0.179741]	~[-0.354280,-0.485610,0.585584,-0.543837]
51.8733728	~[-0.014513,0.106900,-0.478044,-0.871686]	~[-0.014574,-0.560681,0.270351,-0.782518]	~[0.161156,-0.392738,-0.122258,-0.897128]	~[-0.251557,-0.152725,-0.462396,-0.836412]	~[0.038819,-0.400625,0.123341,-0.907072]	~[-0.445507,-0.356485,-0.600479,-0.560238]	~[0.356417,-0.127372,-0.683169,-0.624519]	~[0.667825,-0.210457,0.345599,-0.624723]	~[0.405570,-0.310965,-0.219567,-0.831026]	~[0.621218,-0.326775,-0.682215,-0.204668]	~[0.320331,-0.055551,0.490386,-0.808594]	~[0.560263,-0.327434,-0.425961,-0.630436]	~[-0.005645,-0.451118,0.452460,-0.769247]	~[0.775126,0.186491,-0.576251,0.179821]	~[-0.354397,-0.485504,0.585537,-0.543907]
51.8933588	~[-0.014996,0.106489,-0.478107,-0.871693]	~[-0.014582,-0.560317,0.270688,-0.782662]	~[0.161055,-0.392785,-0.121761,-0.897193]	~[-0.251520,-0.152686,-0.463097,-0.836042]	~[0.038803,-0.400627,0.123282,-0.907080]	~[-0.445354,-0.356119,-0.600726,-0.560327]	~[0.356348,-0.127259,-0.683382,-0.624348]	~[0.669264,-0.205603,0.340430,-0.627631]	~[0.405375,-0.310963,-0.219501,-0.831139]	~[0.621230,-0.326749,-0.682200,-0.204722]	~[0.321917,-0.046815,0.486756,-0.810707]	~[0.560034,-0.327808,-0.425489,-0.630764]	~[-0.005826,-0.450969,0.452606,-0.769247]	~[0.775107,0.186594,-0.576233,0.179857]	~[-0.354546,-0.485398,0.585566,-0.543874]
51.9233833	~[-0.014671,0.106809,-0.478390,-0.871504]	~[-0.014378,-0.560313,0.270076,-0.782880]	~[0.161188,-0.393121,-0.121662,-0.897035]	~[-0.251135,-0.152419,-0.463381,-0.836049]	~[0.038710,-0.400603,0.123288,-0.907094]	~[-0.445283,-0.355874,-0.600730,-0.560536]	~[0.356385,-0.127140,-0.683434,-0.624293]	~[0.670390,-0.202410,0.337025,-0.629302]	~[0.405443,-0.310918,-0.219533,-0.831114]	~[0.621172,-0.326922,-0.682096,-0.204970]	~[0.323677,-0.039925,0.483031,-0.812601]	~[0.559688,-0.328055,-0.424984,-0.631283]	~[-0.006065,-0.450781,0.452687,-0.769308]	~[0.775062,0.186667,-0.576274,0.179839]	~[-0.354524,-0.485426,0.585546,-0.543884]
51.9433688	~[-0.014865,0.106899,-0.478412,-0.871478]	~[-0.014589,-0.560244,0.269932,-0.782976]	~[0.161100,-0.393675,-0.121820,-0.896787]	~[-0.250374,-0.152075,-0.463954,-0.836022]	~[0.038842,-0.400629,0.123255,-0.907081]	~[-0.445261,-0.355777,-0.600704,-0.560643]	~[0.356416,-0.127114,-0.683315,-0.624411]	~[0.672276,-0.198020,0.331502,-0.631617]	~[0.405546,-0.310878,-0.219586,-0.831065]	~[0.621203,-0.326745,-0.682168,-0.204919]	~[0.325853,-0.033855,0.479334,-0.814195]	~[0.559677,-0.327934,-0.425045,-0.631315]	~[-0.006253,-0.450612,0.452719,-0.769386]	~[0.774985,0.186858,-0.576311,0.179856]	~[-0.354572,-0.485364,0.585656,-0.543790]
51.9733818	~[-0.014833,0.107164,-0.478502,-0.871396]	~[-0.013638,-0.560396,0.269379,-0.783074]	~[0.160979,-0.394125,-0.122148,-0.896566]	~[-0.250270,-0.152006,-0.464102,-0.835983]	~[0.039338,-0.400715,0.123072,-0.907047]	~[-0.445043,-0.355829,-0.600899,-0.560574]	~[0.356365,-0.127185,-0.683207,-0.624545]	~[0.674447,-0.192570,0.324225,-0.634757]	~[0.405520,-0.310898,-0.219611,-0.831064]	~[0.621193,-0.326741,-0.682152,-0.205008]	~[0.329726,-0.026179,0.473222,-0.816490]	~[0.560094,-0.327348,-0.425733,-0.630784]	~[-0.006109,-0.450688,0.452471,-0.769489]	~[0.775039,0.186916,-0.576250,0.179755]	~[-0.354603,-0.485341,0.585764,-0.543673]
51.9933343	~[-0.014633,0.107511,-0.478691,-0.871253]	~[-0.013247,-0.560365,0.269427,-0.783087]	~[0.160787,-0.394007,-0.122249,-0.896639]	~[-0.250010,-0.151784,-0.464207,-0.836044]	~[0.039450,-0.400741,0.123081,-0.907029]	~[-0.444862,-0.356028,-0.601112,-0.560362]	~[0.356274,-0.127288,-0.683216,-0.624566]	~[0.676443,-0.188391,0.317810,-0.637127]	~[0.405782,-0.310832,-0.219710,-0.830934]	~[0.621264,-0.326424,-0.682322,-0.204733]	~[0.333785,-0.017609,0.466362,-0.819014]	~[0.560427,-0.326785,-0.426603,-0.630193]	~[-0.005960,-0.450735,0.452317,-0.769553]	~[0.775205,0.186960,-0.576036,0.179685]	~[-0.354615,-0.485348,0.585847,-0.543571]
52.0233812	~[-0.013798,0.108040,-0.478853,-0.871112]	~[-0.012763,-0.560443,0.269203,-0.783116]	~[0.160659,-0.393269,-0.121972,-0.897023]	~[-0.250193,-0.151910,-0.464079,-0.836037]	~[0.039487,-0.400747,0.123108,-0.907021]	~[-0.444531,-0.356033,-0.601435,-0.560275]	~[0.356217,-0.127327,-0.683290,-0.624510]	~[0.677915,-0.185153,0.312466,-0.639151]	~[0.405749,-0.310838,-0.219739,-0.830940]	~[0.621084,-0.326975,-0.682063,-0.205264]	~[0.336763,-0.009281,0.460416,-0.821293]	~[0.560457,-0.326782,-0.427010,-0.629891]	~[-0.005687,-0.450846,0.452120,-0.769606]	~[0.775373,0.186893,-0.575880,0.179526]	~[-0.354650,-0.485296,0.585981,-0.543450]
